Quantity,Reference Designator,Model
1,R1B,"2.21k ohm, 0603, 1%"
1,R2B,"40.2k ohm, 0603, 1%"
5,"R4B, R4A, R5M, JP2, R2A","0 ohm, 0603"
1,R1A,"4.22k ohm, 0603, 1%"
1,C5B,"4.7uF, 1206, X7R, 5%"
1,C6B,"470nF, 1206, X7R, 5%"
4,"C9B, C0B, C9A, C0A","100nF, 0603, X7R, 20%"
1,C6A,"3.6uF, 1206, X7R, 5%"
2,"C101M, C100M","10uF, 6032, tantalum, 20%"
1,U1B,"ADA4522-2, SOIC"
1,U1A,"ADA4522-1, SOIC"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
2," J3M, J4M","65474-010LF, 0.1"" jumper"
2," J1B, J1A","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
