Frequency,Nominal,Min,Max
0.8,-127.7728904097405,-129.39589424184703,-126.08077101821019
0.8186343938246033,-128.29761396440037,-129.91957030402088,-126.60410152069298
0.8377028384407197,-128.81960941063357,-130.43958682574737,-127.12566618655171
0.8572154441900852,-129.33845150017612,-130.95551845870648,-127.64504617691149
0.877182556914548,-129.85371283648374,-131.4669399944029,-128.1618181213436
0.8976147634415708,-130.36496474453682,-131.97342720710384,-128.675554974102
0.9185228971975062,-130.87177813403184,-132.47455767510928,-129.18582687983445
0.9399180439516236,-131.37372434998406,-132.9699115748019,-129.69220204277028
0.9618115476939303,-131.87037600480667,-133.45907244213348,-130.19424759333873
0.9842150166499052,-132.36130778618076,-133.94162789664793,-130.69153044615754
1.0071403294353336,-132.8460972352437,-134.41717032343013,-131.18361814341253
1.0305996413545069,-133.32432548996158,-134.8852975088767,-131.6700796777836
1.0546053908451254,-133.7955779888878,-135.34561322661457,-132.15048628930145
1.0791703060733226,-134.25944513095422,-135.79772777040375,-132.6244122307664
1.1043074116823075,-134.7155228873594,-136.24125843136136,-133.09143549671265
1.130030035698203,-135.16341336212403,-136.6912483570698,-133.5459348303411
1.1563518165967415,-135.60272529836772,-137.13370481107026,-133.98169798116663
1.1832867105345652,-136.03307452791515,-137.56699483790516,-134.40876829351058
1.2108489987489657,-136.45408436230667,-137.99076462863533,-134.82674677753778
1.2390532951299842,-136.86538592387467,-138.40466879771324,-135.2352414624989
1.2679145539688899,-137.26661841601708,-138.80837055197807,-135.63386777678468
1.297448077887143,-137.65742933231434,-139.20154179868277,-136.02224886825343
1.3276695259500473,-138.03747460460272,-139.58386319335244,-136.4000158641378
1.3585949219693942,-138.40641869056623,-139.95502412867853,-136.76680807031778
1.390240662999499,-138.7639346018245,-140.31472266596333,-137.1222731102373
1.4226235280311368,-139.10970387385333,-140.66266541095965,-137.4660670041627
1.4557606868879853,-139.4434164794301,-140.99856733618884,-137.7978541899197
1.4896697093302924,-139.76477068757313,-141.32215155204062,-138.1173074865934
1.5243685743705961,-140.07347287020184,-141.6331490291278,-138.4241080030296
1.5598756798064346,-140.3692372589458,-141.93129827449923,-138.7179449932556
1.596209851975102,-140.6517856547036,-142.2163449643818,-138.99851566119372
1.6333903557356217,-140.92084709266416,-142.48804153620117,-139.26552491725394
1.6714369046832298,-141.17615746559042,-142.74614674260727,-139.51868508954513
1.7103696716017838,-141.41745910822107,-142.99042517022843,-139.75771559258544
1.75020929915964,-141.64450034563563,-143.22064672581655,-139.9823425564735
1.7909769108546696,-141.85703500843263,-143.43658609236627,-140.1922984195372
1.8326941222142161,-142.0548219175058,-143.63802215768587,-140.38732148749983
1.8753830522559354,-142.23762434114042,-143.82473741777477,-140.5671554621872
1.91906633521559,-142.40520942706127,-143.99651735722128,-140.73154894278753
1.9637671325480217,-142.55734761194716,-144.1531498086895,-140.8802549025923
2.0095091452076614,-142.69381201082024,-144.2944242933883,-141.01303014410442
2.0563166262150885,-142.81437778857756,-144.42013134426745,-141.12963473528953
2.104214393516303,-142.9188215158058,-144.53006181350324,-141.22983142967644
2.1532278431415297,-143.00692051088484,-144.62400616567996,-141.3133850728912
2.2033829626705304,-143.07845217025059,-144.70175375790342,-141.3800619981278
2.2547063450115603,-143.13319328857068,-144.7630921079373,-141.42962941294925
2.307225202501282,-143.17091937046013,-144.80780615130166,-141.4618547797251
2.3609673813331056,-143.19140393527348,-144.83567748815196,-141.4765051919369
2.4159613763216097,-143.19441781641737,-144.84648362063825,-141.47334674850646
2.472236346010869,-143.1797284565674,-144.83999718135775,-141.45214392826483
2.5298221281347,-143.14709920013237,-144.815985153442,-141.41265896664342
2.5887492554370226,-143.09628858429457,-144.77420808278342,-141.35465123667473
2.6490489718607253,-143.0270496299783,-144.714419282891,-141.27787663641263
2.710753249113617,-142.9391291341465,-144.6363640328946,-141.1820869849417
2.7738948036202493,-142.83226696492935,-144.53977876927814,-141.06702942924437
2.8385071138685998,-142.70619536122044,-144.42439027203463,-140.93244586432414
2.904624438160807,-142.56063823856664,-144.2899148460928,-140.77807236916638
2.972281832777376,-142.39531050342276,-144.13605749908206,-140.60363866134423
3.041515170564485,-142.20991737814836,-143.96251111678384,-140.40886757335267
3.11236115995424,-142.00415373948664,-143.7689556379675,-140.1934745540934
3.184857364427973,-141.7777034737219,-143.5550572307425,-139.9571671993254
3.259042222432897,-141.5302388522335,-143.32046747308507,-139.69964481535666
3.334955067762678,-141.26141993177865,-143.06482254081936,-139.4205980207851
3.412636150412736,-140.97089398455884,-142.78774240708347,-139.11970839169757
3.492126657921322,-140.65829496394161,-142.48883005817524,-138.79664815642292
3.573468737207699,-140.32324301265223,-142.16767073169675,-138.45107994669536
3.656705516918994,-139.9653440213167,-141.8238311840934,-138.082656612939
3.741881130297579,-139.58418924644303,-141.45685899604507,-137.69102111231982
3.8290407385811003,-139.17935499827615,-141.0662819257285,-137.2758064792428
3.918230554947563,-138.75040241047105,-140.65160732175323,-136.83663588908684
4.009497869018172,-138.29687730519623,-140.21232160959352,-136.37312282717565
4.102891071930912,-137.81831016912068,-139.7478898676334,-135.88487137626984
4.198459681998174,-137.31421625774277,-139.25775551150423,-135.37147663722135
4.296254370962015,-136.7840958477057,-138.74134010827373,-134.83252529885496
4.396326990860989,-136.22743465908496,-138.19804334522948,-134.2675963745986
4.498730601522785,-135.64370447212534,-137.62724318151925,-133.67626212486346
4.603519498697247,-135.03236396553217,-137.02829621475206,-133.05808918563523
4.710749242844703,-134.39285980612675,-136.40053829882547,-132.41263992514186
4.820476688594853,-133.724628022442,-135.7432854537066,-131.7394740517517
4.932760014891849,-133.02709569756024,-135.05583511259894,-131.02003846015918
5.047658755841537,-132.2996830191263,-134.36041327370816,-130.24731129147446
5.165233832277235,-131.541805726869,-133.6509129060179,-129.44387654932697
5.285547584060759,-130.7528780000027,-132.91078124512518,-128.595630278481
5.408663803135845,-129.93231582838868,-132.13936508790778,-127.69177212743544
5.5346477673514825,-129.07954091209126,-131.33600672817443,-126.75428418036111
5.6635662750730935,-128.1939851337323,-130.50004754099677,-125.78264888828186
5.79548768059991,-127.27509564653236,-129.64950699651112,-124.77638000056663
5.930481930407329,-126.32234061780547,-128.78578462782247,-123.73503011927373
6.068620600233459,-125.3352156625816,-127.88909374276902,-122.65819899172733
6.209976933029522,-124.31325099458095,-126.95888787903284,-121.54554253609038
6.3546258777942395,-123.25601931154635,-125.99464367078765,-120.39678257570435
6.502644129312781,-122.16314441856211,-124.9958675206667,-119.21171723501638
6.654110168821354,-121.03431057607081,-123.96210299608278,-117.99023192290052
6.809104305618997,-119.86927253855696,-122.89293896278393,-116.73231079819703
6.9677087196486305,-118.66786622509196,-121.78801845400332,-115.43804857768421
7.130007505069949,-117.43001993411681,-120.6470482553867,-114.10766250913521
7.296086714847262,-116.15576598216389,-119.46980916379937,-112.74150429265116
7.466034406375912,-114.84525261018436,-118.25616685197569,-111.34007169357582
7.639940688171471,-113.49875596257475,-117.00608324082351,-109.90401955191736
7.8178977676464685,-112.11669190413546,-115.71962824732542,-108.4341698586947
7.999999999999982,-110.69962740072106,-114.39699173897549,-106.93152054172609
8.186343938246015,-109.24829115238211,-113.03849548652833,-105.39725258508989
8.377028384407177,-107.7635831358979,-111.64460486689606,-103.83273510089512
8.572154441900832,-106.24658268963674,-110.21594002913886,-102.23952798201731
8.77182556914546,-104.6985547607125,-108.75328620093576,-100.61938179255417
8.976147634415685,-103.12095393547906,-107.25760278335035,-98.97423460061457
9.18522897197504,-101.51542589227711,-105.73003086109338,-97.30620552624761
9.399180439516213,-99.88380595216333,-104.17189874690004,-95.61758486502804
9.618115476939279,-98.22811446035085,-102.58472518507155,-93.91082075262766
9.842150166499026,-96.55054880823272,-100.97021986326436,-92.18850245356349
10.071403294353312,-94.85347200164807,-99.33028092512504,-90.45334048262028
10.305996413545044,-93.13939779231885,-97.66698924020446,-88.70814389335742
10.546053908451228,-91.41097251136325,-95.98259927124036,-86.95579518702804
10.791703060733198,-89.67095387027655,-94.27952648031683,-85.19922339943167
11.043074116823046,-87.92218711850492,-92.56033133088603,-83.44137600552452
11.300300356982001,-86.16757905998432,-90.82770006688054,-81.68519033614793
11.563518165967386,-84.41007052620768,-89.08442257655375,-79.93356522399925
11.832867105345624,-82.65260797384889,-87.33336776976488,-78.18933358526978
12.108489987489628,-80.8981149156096,-85.57745700542308,-76.45523660000919
12.390532951299813,-79.14946390075724,-83.81963619336979,-74.73390008144612
12.679145539688868,-77.40944973621232,-82.06284725589815,-73.02781352746464
12.9744807788714,-75.6807645819208,-80.30999966393918,-71.33931223298066
13.276695259500443,-73.96597546979672,-78.56394275946174,-69.67056271769175
13.58594921969391,-72.2675046897656,-76.82743953910847,-68.02355159731012
13.902406629994958,-70.58761336661117,-75.10314250721913,-66.40007790511712
14.226235280311336,-68.92838842518138,-73.39357211404162,-64.8017487605887
14.55760686887982,-67.29173301659928,-71.70109818360109,-63.22997818757599
14.89669709330289,-65.67936036119816,-70.02792461288006,-61.68598880909183
15.243685743705926,-64.0927908604386,-68.37607749741629,-60.170816090534636
15.59875679806431,-62.53335224397992,-66.74739671549925,-58.68531476807114
15.962098519750983,-61.00218245164292,-65.14353089020535,-57.23016708258975
16.33390355735618,-59.50023490390098,-63.56593555053129,-55.80589243989946
16.71436904683226,-58.02828578808997,-62.01587423322807,-54.41285813190023
17.1036967160178,-56.58694297897537,-60.49442220732954,-53.0512907782297
17.502092991596363,-55.17665621913477,-59.00247246400678,-51.721288180347976
17.90976910854666,-53.79772820386306,-57.54074359418406,-50.422831317302524
18.326941222142125,-52.45032624390466,-56.109789173271764,-49.15579625201058
18.753830522559316,-51.13449421427276,-54.71000828370662,-47.91996575671573
19.19066335215586,-49.85016453602224,-53.34165682872212,-46.71504050467812
19.637671325480177,-48.59716997776999,-52.004859321826444,-45.54064971094375
20.095091452076574,-47.375255103116416,-50.69962087293233,-44.39636113740066
20.56316626215084,-46.18408722747305,-49.42583913137207,-43.281690405816086
21.042143935162983,-45.02326678212739,-48.18331598595534,-42.196109586976846
21.53227843141525,-43.89233701403779,-46.97176886105189,-41.13905505447338
22.033829626705252,-42.79079297652085,-45.790841484109514,-40.109934608271914
22.547063450115548,-41.718089788608154,-44.640114033167876,-39.108133886323046
23.072252025012762,-40.67365015952077,-43.51911260227146,-38.13302209242649
23.609673813330996,-39.65687118970059,-42.42731794798954,-37.18395707581544
24.159613763216036,-38.667130471486885,-41.364173501520554,-36.26028980284129
24.722363460108628,-37.703791521222335,-40.32909264825867,-35.36136826412065
25.298221281346937,-36.766208580723735,-39.32146529052877,-34.48654086190872
25.88749255437016,-35.8537308300531,-38.34066371980745,-33.635159322611806
26.490489718607183,-34.965706055755945,-37.38604783254473,-32.80658117852968
27.107532491136094,-34.101483819534344,-36.45696972908497,-32.00017186137153
27.73894803620242,-33.260418172003135,-35.55277773855204,-31.21530644802038
28.385071138685923,-32.44186995500159,-34.67281991427782,-30.451371096604465
29.04624438160799,-31.64520873412959,-33.816447044744955,-29.707764208303214
29.722818327773684,-30.869814400931904,-32.98301522438093,-28.98389734758447
30.415151705644774,-30.11507848162763,-32.17188802713007,-28.279195950818757
31.123611599542322,-29.380405186593222,-31.38243832375838,-27.593099850514854
31.84857364427965,-28.66521223205846,-30.61404978149183,-26.925063639812386
32.59042222432888,-27.96893146273988,-29.866118081993985,-26.27455689938599
33.349550677626695,-27.291009301470247,-29.138051890970846,-25.641064306584646
34.126361504127274,-26.630907049329448,-28.42927360993918,-25.0240856444592
34.92126657921313,-25.988101057364645,-27.739219937976895,-24.423135726329793
35.7346873720769,-25.362082788729058,-27.06734226864293,-23.837744249710454
36.56705516918985,-24.752358787972664,-26.413106944743074,-23.267455591739612
37.4188113029757,-24.158450572292534,-25.775995391253723,-22.711828556754405
38.2904073858109,-23.57989445779085,-25.155504144509262,-22.170436085286624
39.18230554947552,-23.016241332192017,-24.551144793721573,-21.642864932538497
40.094978690181605,-22.467056384028016,-23.962443849029633,-21.12871532330863
41.028910719309,-21.93191879700576,-23.388942548573084,-20.627600589370047
41.98459681998162,-21.410421417110314,-22.83019661554012,-20.13914679444467
42.96254370962002,-20.90217039896567,-22.285775974747732,-19.662992351161456
43.96326990860976,-20.406784837056712,-21.755264437063857,-19.198787633718105
44.987306015227716,-19.923896386605115,-21.238259358865125,-18.74619458938195
46.035194986972336,-19.453148878176307,-20.734371282730905,-18.304886351452815
47.10749242844689,-18.9941979294652,-20.243223564693967,-17.87454685586511
48.20476688594839,-18.546710557157848,-19.76445199258961,-17.454870463217475
49.327600148918336,-18.110364791283978,-19.297704399359983,-17.04556158768221
50.47658755841522,-17.684849294056242,-18.84264027456799,-16.646334333955792
51.652338322772195,-17.26986298482778,-18.398930376848813,-16.256912143161387
52.855475840607426,-16.865114672484157,-17.96625634956639,-15.877027448399692
54.08663803135828,-16.470322696314152,-17.544310341542715,-15.506421340460578
55.34647767351465,-16.085214576169616,-17.13279463438036,-15.14484324405202
56.63566275073075,-15.709526672524653,-16.731421277598468,-14.792050604770537
57.954876805998914,-15.34300385687347,-16.339911732544042,-14.447808586926028
59.3048193040731,-14.985399192761152,-15.957996525817979,-14.111889782240404
60.68620600233439,-14.63647362761924,-15.58541491276576,-13.78407392936255
62.09976933029502,-14.295995695474897,-15.22191455142056,-13.464147644077675
63.54625877794219,-13.963741230516794,-14.867251187149606,-13.1519041600378
65.0264412931276,-13.639493091429724,-14.521188348139072,-12.847143079797792
66.54110168821333,-13.323040896351452,-14.183497051755584,-12.549670135908574
68.09104305618976,-13.014180768258734,-13.853955521742181,-12.259296961793465
69.67708719648608,-12.712715090550798,-13.532348916139712,-11.975840872114386
71.30007505069926,-12.418452272569857,-13.218469065770357,-11.699124652320668
72.96086714847239,-12.131206524774973,-12.912114223076212,-11.42897635706439
74.66034406375888,-11.850797643269416,-12.613088821070871,-11.16522911716036
76.39940688171447,-11.577050803369495,-12.321203242134922,-10.907720954767104
78.17897767646444,-11.309796361895883,-12.036273596365614,-10.656294606465524
79.99999999999957,-11.048869667864402,-11.758121509176332,-10.410797353914834
81.86343938245989,-10.794110881252454,-11.486573917831054,-10.171080861770031
83.7702838440715,-10.54536479951872,-11.221462876593025,-9.937001022550948
85.72154441900804,-10.302480691557856,-10.962625370164071,-9.708417808160627
87.71825569145432,-10.065312138776674,-10.709903135091016,-9.485195127758416
89.76147634415658,-9.833716882985206,-10.463142488818034,-9.267200691702392
91.8522897197501,-9.607556680803874,-10.222194166067842,-9.054305881284916
93.99180439516184,-9.386697164296047,-9.986913162240764,-8.846385623994752
96.18115476939249,-9.171007707544815,-9.757158583527383,-8.643318274049316
98.42150166498996,-8.960361298901928,-9.532793503438649,-8.444985497950322
100.7140329435328,-8.754634418647024,-9.313684825465842,-8.251272164826483
103.05996413545013,-8.553706921804915,-9.09970315159243,-8.062066241336579
105.46053908451196,-8.357461925878981,-8.890722656388903,-7.8772586909162
107.91703060733167,-8.165785703268549,-8.68662096643213,-7.696743377161185
110.43074116823014,-7.978567578148224,-8.487279044800323,-7.520416971150037
113.00300356981968,-7.7956998275967635,-8.29258108040511,-7.348178862517041
115.63518165967352,-7.617077586772702,-8.102414381931855,-7.179931074096506
118.32867105345589,-7.442598757943356,-7.916669276169513,-7.015578179967324
121.08489987489592,-7.272163923182809,-7.735239010520886,-6.855027226735412
123.90532951299775,-7.105676260563252,-7.558019659493633,-6.698187657899338
126.7914553968883,-6.943041463672753,-7.384910034981703,-6.544971241152642
129.7448077887136,-6.784167664300473,-7.215811600155827,-6.395291998483137
132.76695259500403,-6.628965358138376,-7.050628386790354,-6.249066138937067
135.8594921969387,-6.477347333355981,-6.889266915862204,-6.10621199392242
139.02406629994917,-6.329228601911979,-6.731636121265739,-5.96664995493226
142.26235280311292,-6.184526333473404,-6.577647276495049,-5.830302413575128
145.57606868879773,-6.043159791819751,-6.427213924152842,-5.697093703805288
148.96697093302842,-5.905050273615621,-6.280251808151933,-5.566950046251226
152.43685743705876,-5.77012104944161,-6.136678808482423,-5.439799494546151
155.98756798064258,-5.638297306978766,-5.996414878424011,-5.315571883569133
159.6209851975093,-5.509506096247448,-5.85938198408917,-5.1941987795103834
163.33903557356123,-5.383676276806558,-5.725504046188741,-5.075613431678635
167.143690468322,-5.260738466824013,-5.594706883917215,-4.95975072597297
171.0369671601774,-5.140624993934011,-5.466918160860292,-4.846547139945277
175.020929915963,-5.023269847800961,-5.3420673328323005,-4.735940699383592
179.09769108546593,-4.9086086343142705,-5.220085597556029,-4.627870936350105
183.26941222142057,-4.796578531342006,-5.1009058461019166,-4.522278848610994
187.53830522559247,-4.68711824597524,-4.984462616008025,-4.4191068603986094
191.9066335215579,-4.580167973198455,-4.870692046006253,-4.318298784449532
196.37671325480105,-4.475669355924672,-4.759531832284085,-4.219799785264931
200.950914520765,-4.373565446337228,-4.650921186214974,-4.123556343542422
205.63166262150764,-4.273800668483013,-4.544800793493805,-4.029516221731205
210.42143935162906,-4.176320782064867,-4.441112774617212,-3.9376284306646934
215.32278431415173,-4.081072847383536,-4.3398006466517,-3.847843197227148
220.33829626705176,-3.988005191382032,-4.240809286235357,-3.760111933013083
225.4706345011547,-3.897067374747712,-4.144084893761761,-3.6743872039401615
230.72252025012682,-3.8082101600295593,-4.04957495869734,-3.590622700778348
236.09673813330915,-3.721385480730397,-3.9572282259858778,-3.5087732105598626
241.59613763215953,-3.6365464113355848,-3.8669946634961874,-3.428794588836217
247.22363460108542,-3.5536471382418924,-3.778825430471271,-3.350643732750303
252.98221281346846,-3.472642931551786,-3.6926728469392285,-3.274278554892991
258.87492554370067,-3.393490117700251,-3.6084903640483037,-3.1996579579151905
264.90489718607085,-3.3161460528827407,-3.5262325352901867,-3.126741809867698
271.07532491136,-3.240569097254446,-3.4458549885775307,-3.0554909202424643
277.3894803620232,-3.1667185898724215,-3.367314399143287,-2.985867016690149
283.8507113868582,-3.0945548243535095,-3.290568463230968,-2.9178327223899774
290.46244381607886,-3.0240390252222586,-3.2155758725465393,-2.8513515340490447
297.22818327773575,-2.9551333249242075,-3.142296289443907,-2.78638780050921
304.1515170564466,-2.8878007414810956,-3.070690322817432,-2.722906701940778
311.23611599542204,-2.822005156765575,-3.000719504676004,-2.660874229602992
318.4857364427953,-2.757711295374051,-2.932346267374513,-2.600257166152357
325.9042222432876,-2.6948847040772432,-2.8655339214795696,-2.5410230664805558
333.4955067762657,-2.633491731828923,-2.800246634247465,-2.483140239064549
341.2636150412714,-2.5734995103141918,-2.7364494086932862,-2.4265777278122087
349.21266579213,-2.5148759350194534,-2.674108063231092,-2.3713052943874873
357.34687372076763,-2.4575896468069867,-2.6131892118659086,-2.3172934009998696
365.67055169189706,-2.4016100139778125,-2.5536602449191967,-2.264513193643422
374.1881130297555,-2.3469071148071428,-2.4954893102701705,-2.2129364857713965
382.90407385810755,-2.293451720537453,-2.4386452950961783,-2.162535742392894
391.82305549475376,-2.2412152788147846,-2.383097808096004,-2.113284064578664
400.94978690181455,-2.1901698975544615,-2.3288171621806857,-2.065155174363574
410.2891071930885,-2.1402883292230106,-2.275774357617024,-2.0181234000338546
419.8459681998146,-2.0915439555235515,-2.2239410656096363,-1.9721636617875946
429.6254370961986,-2.043910772472464,-2.173289612307922,-1.927251457757482
439.63269908609595,-1.9973633758555993,-2.123792963224899,-1.8833628503851558
449.87306015227546,-1.9518769470527502,-2.0754247080553516,-1.8404744531369437
460.35194986972164,-1.9074272392195448,-2.028159045881286,-1.7985634175511662
471.07492428446716,-1.8639905638163035,-1.9819707707530545,-1.757607420607489
482.0476688594821,-1.821543777473841,-1.9368352576350891,-1.7175846524092258
493.2760014891815,-1.7800642691865078,-1.8927284487054699,-1.678473804169745
504.76587558415025,-1.739529947823164,-1.8496268399990785,-1.6402540564945136
516.5233832277199,-1.6999192299470898,-1.8075074683843753,-1.6029050679505452
528.5547584060722,-1.661211027936155,-1.7663478988642571,-1.566406963915367
540.8663803135807,-1.6233847383949054,-1.7261262121917968,-1.5307403256978376
553.4647767351444,-1.5864202308504733,-1.6868209927919613,-1.495886179923436
566.3566275073053,-1.5502978367245317,-1.6484113169807564,-1.461825988176888
579.548768059987,-1.5149983385737615,-1.6108767414735428,-1.428541636895216
593.0481930407288,-1.480502959591549,-1.5741972921745295,-1.3960154275045493
606.8620600233417,-1.4467933533638981,-1.5383534532397507,-1.3642300667942213
620.9976933029479,-1.4138515938727383,-1.5033261564060851,-1.3331686575219197
635.4625877794196,-1.3816601657400762,-1.4690967705791265,-1.30281468924381
650.2644129312736,-1.3502019547065893,-1.435647091672945,-1.273152029363799
665.4110168821309,-1.3194602383385436,-1.4029593326950287,-1.2441649143962368
680.910430561895,-1.2894186769570266,-1.371016114069887,-1.2158379414365639
696.7708719648582,-1.2600613047837472,-1.3398004541950335,-1.1881560598345577
713.0007505069899,-1.2313725212977775,-1.3092957602232291,-1.1611045630650043
729.6086714847211,-1.2033370827978398,-1.2794858190651182,-1.134669080790796
746.6034406375859,-1.175940094164831,-1.2503547886065058,-1.1088355711135434
763.9940688171416,-1.1491670008195207,-1.2218871891347483,-1.0835903130070184
781.7897767646413,-1.1230035808704493,-1.1940678949688883,-1.058919898928803
799.9999999999925,-1.0974359374472227,-1.1668821262883202,-1.0348112276057164
818.6343938245956,-1.072450491214546,-1.140315441154923,-1.0112514969886681
837.7028384407117,-1.04803397306246,-1.1143537277237816,-0.9882281973727501
857.215444190077,-1.0241734169683858,-1.088983196637719,-0.9657291046784681
877.1825569145398,-1.0008561530266993,-1.0641903736010228,-0.9437422738901525
897.6147634415623,-0.9780698006416999,-1.039962092127901,-0.922256032647681
918.5228971974975,-0.9558022618799213,-1.0162854864612736,-0.9012589749877542
939.9180439516147,-0.9340417149778666,-0.9931479846577194,-0.8807399552310878
961.8115476939212,-0.9127766080013694,-0.9705373018344132,-0.8606880820119521
984.2150166498958,-0.8919956526528561,-0.9484414335741037,-0.8410927124466175
1007.1403294353241,-0.871687818222908,-0.9268486494842137,-0.821943446437335
1030.5996413544972,-0.8518423256826242,-0.9057474869063085,-0.8032301211085797
1054.6053908451154,-0.8324486419133585,-0.8851267447722461,-0.7849428053723785
1079.1703060733123,-0.8134964740705166,-0.8649754776034386,-0.7670717946196088
1104.307411682297,-0.7949757640781812,-0.8452829896497605,-0.7496076055342616
1130.0300356981923,-0.7768766832514076,-0.8260388291646968,-0.7325409710277134
1156.3518165967305,-0.7591896270431412,-0.8072327828134725,-0.7158628352901548
1183.286710534554,-0.741905209912757,-0.7888548702109247,-0.6995643489563779
1210.8489987489543,-0.7250142603133203,-0.7708953385860243,-0.6836368643832014
1239.0532951299724,-0.7085078157947436,-0.7533446575699979,-0.6680719310358966
1267.9145539688777,-0.6923771182200714,-0.7361935141050924,-0.6528612909810102
1297.4480778871305,-0.6766136090922085,-0.7194328074711026,-0.6379968744830942
1327.6695259500345,-0.6612089249884783,-0.7030536444268589,-0.623470795702865
1358.5949219693812,-0.6461548931004504,-0.6870473344639341,-0.6092753484944197
1390.2406629994857,-0.6314435268765572,-0.6714053851699092,-0.595403002299164
1422.6235280311232,-0.6170670217650688,-0.656119497698601,-0.5818463981341898
