Frequency,Nominal,Min,Max
0.8,-10.11669948337095,-10.728865718677811,-9.51467052222481
0.8186343938246033,-10.352383971213042,-10.978816385126796,-9.736325852470827
0.8377028384407197,-10.593560851929182,-11.234592246458131,-9.963146358207592
0.8572154441900852,-10.840358245368039,-11.496329210113004,-10.195252506275702
0.877182556914548,-11.092907268905737,-11.764166364974551,-10.432767580574145
0.8976147634415708,-11.351342108203353,-12.038246056582974,-10.675817748460455
0.9185228971975062,-11.615800089677425,-12.3187139641786,-10.924532128752224
0.9399180439516236,-11.886421754727381,-12.605719179620145,-11.179042861370714
0.9618115476939303,-12.16335093576547,-12.899414288227044,-11.439485178668878
0.9842150166499052,-12.446734834095619,-13.199955451595656,-11.705997478486921
1.0071403294353336,-12.736724099689297,-13.507502492440903,-11.978721398979992
1.0305996413545069,-13.033472912907614,-13.822218981515983,-12.257801895263825
1.0546053908451254,-13.337139068220289,-14.144272326664463,-12.543387317925305
1.0791703060733226,-13.647884059973457,-14.473833864060177,-12.83562949344636
1.1043074116823075,-13.965873170259822,-14.81107895169201,-13.134683806591047
1.130030035698203,-14.291275558945822,-15.156187065151835,-13.440709284806728
1.1563518165967415,-14.624264355912153,-15.509341895785308,-13.753868684691946
1.1832867105345652,-14.965016755565014,-15.870731451266444,-14.074328580584789
1.2108489987489657,-15.313714113677248,-16.24054815865825,-14.402259455327094
1.2390532951299842,-15.670542046619545,-16.61898897002265,-14.737835793261082
1.2679145539688899,-16.035690533043113,-17.006255470644092,-15.081236175516457
1.297448077887143,-16.40935401807678,-17.402553989931977,-15.432643377647466
1.3276695259500473,-16.791731520102108,-17.80809571506778,-15.792244469680455
1.3585949219693942,-17.183026740171304,-18.22309680746301,-16.160230918633978
1.390240662999499,-17.583448174133533,-18.64777852209444,-16.536798693574514
1.4226235280311368,-17.993209227535505,-19.08236732978256,-16.922148373271906
1.4557606868879853,-18.412528333362765,-19.527095042478415,-17.316485256519517
1.4896697093302924,-18.84162907268787,-19.98219894162306,-17.72001947518485
1.5243685743705961,-19.280740298291178,-20.44792190964135,-18.132966110056792
1.5598756798064346,-19.730096261319122,-20.92451256462934,-18.55554530955572
1.596209851975102,-20.189936741042928,-21.412225398290687,-18.987982411372734
1.6333903557356217,-20.660507177778772,-21.911320917172578,-19.43050806710338
1.6714369046832298,-21.14205880902694,-22.422065787245373,-19.883358369940193
1.7103696716017838,-21.634848808883326,-22.944732981862145,-20.346774985486476
1.75020929915964,-22.139140430771047,-23.47960193312472,-20.821005285751276
1.7909769108546696,-22.655203153533297,-24.02695868667046,-21.306302486381803
1.8326941222142161,-23.183312830919135,-24.587096059879283,-21.80292578718479
1.8753830522559354,-23.72375184448399,-25.16031380348263,-22.311140515982878
